ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード,提出者法人番号
E33094,個人（組合発行者を除く）,,,,,前野　圭亮,,マエノ　ケイスケ,,個人（組合発行者を除く）,,
E33096,内国法人・組合（有価証券報告書等の提出義務者以外）,,,1,,エムウッドトラスティ合同会社,,エムウッドトラスティゴウドウガイシャ,足立区綾瀬３－１６－２３ー１０３,内国法人・組合（有価証券報告書等の提出義務者以外）,,4011803002756
E33097,個人（組合発行者を除く）,,,,,江口　新,,エグチ　シン,,個人（組合発行者を除く）,,
E33101,個人（組合発行者を除く）,,,,,高山　泰仁,,タカヤマ　ヤスヒト,,個人（組合発行者を除く）,,
E33104,個人（組合発行者を除く）,,,,,榎屋　幸生,,エノキヤ　ユキオ,,個人（組合発行者を除く）,,
E33105,内国法人・組合（有価証券報告書等の提出義務者以外）,,,0,,公益財団法人トランスコスモス財団,,コウエキザイダンホウジントランスコスモスザイダン,渋谷区渋谷３－２５－１８,内国法人・組合（有価証券報告書等の提出義務者以外）,,7170005005839
E33106,内国法人・組合（有価証券報告書等の提出義務者以外）,,,3000,,清水地所株式会社,,シミズジショカブシキガイシャ,中央区京橋二丁目１７番４号,内国法人・組合（有価証券報告書等の提出義務者以外）,,1010001046156
E33107,内国法人・組合（有価証券報告書等の提出義務者以外）,,,48,,福岡商事株式会社,,フクオカショウジカブシキカイシャ,福岡市中央区大名２丁目２番２６号,内国法人・組合（有価証券報告書等の提出義務者以外）,,4290001016095
E33108,個人（組合発行者を除く）,,,,,井上　亜希,,イノウエ　アキ,,個人（組合発行者を除く）,,
E33109,内国法人・組合,上場,無,226,1月31日,アセンテック株式会社,,アセンテックカブシキカイシャ,千代田区神田練塀町３番地,卸売業,35650,2011101051771
E33110,内国法人・組合,上場,有,426,3月末日,株式会社旅工房,TABIKOBO Co. Ltd.,カブシキガイシャタビコウボウ,豊島区東池袋三丁目１番１号サンシャイン６０・４６階,サービス業,65480,4013301007221
E33111,内国法人・組合（有価証券報告書等の提出義務者以外）,,,0,,一般財団法人上田記念財団,,イッパンザイダンホウジンウエダキネンザイダン,中央区日本橋箱崎町７－８,内国法人・組合（有価証券報告書等の提出義務者以外）,,6010005014609
E33114,個人（組合発行者を除く）,,,,,吉田　仁平,,ヨシダ　ジンペイ,,個人（組合発行者を除く）,,
E33115,内国法人・組合（有価証券報告書等の提出義務者以外）,,,0,,株式会社オセアグループ,,オセアグループ,横浜市西区みなとみらい二丁目３番５号,内国法人・組合（有価証券報告書等の提出義務者以外）,,5020001023646
E33116,外国法人・組合（有価証券報告書等の提出義務者以外）,,,1,,ＫＩＮＧＤＯＭ　ＣＡＰＩＴＡＬ　ＲＥＳＯＵＲＣＥＳ　ＬＩＭＩＴＥＤ,,キングダム　キャピタル　リソーシス　リミテッド,２６３　Ｍａｉｎ　Ｓｔｒｅｅｔ　Ｐ．Ｏ．Ｂｏｘ　２１９６　Ｒｏａｄ　Ｔｏｗｎ　Ｔｏｒｔｏｌａ　Ｂｒｉｔｉｓｈ　Ｖｉｒｇｉｎ　Ｉｓｌａｎｄ,外国法人・組合（有価証券報告書等の提出義務者以外）,,
E33117,個人（組合発行者を除く）,,,,,雨堤　正博,,アマヅツミ　マサヒロ,,個人（組合発行者を除く）,,
E33119,内国法人・組合（有価証券報告書等の提出義務者以外）,,,35765,,ソシエテ・ジェネラル証券株式会社,,ソシエテジェネラルショウケンカブシキカイシャ,千代田区丸の内一丁目１番１号,内国法人・組合（有価証券報告書等の提出義務者以外）,,4010401068862
E33121,内国法人・組合（有価証券報告書等の提出義務者以外）,,,5,,株式会社エキスパートナーズ,,カブシキカイシャエキスパートナーズ,千代田区神田多町２－８－１０,内国法人・組合（有価証券報告書等の提出義務者以外）,,5020001093367
E33122,個人（組合発行者を除く）,,,,,河原　成美,,カワハラ　シゲミ,,個人（組合発行者を除く）,,
E33123,内国法人・組合（有価証券報告書等の提出義務者以外）,,,26150,,株式会社海外需要開拓支援機構,,カブシキカイシャカイガイジュヨウカイタクシエンキコウ,港区六本木六丁目１０番１号,内国法人・組合（有価証券報告書等の提出義務者以外）,,1010401108794
