,url,code,提出者種別,上場区分,連結の有無,資本金,決算日,name,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード,提出者法人番号
3682,3682,E05640,内国法人・組合,上場,有,1000.0,3月31日,株式会社ＳＲＡホールディングス,"SRA Holdings,Inc.",カブシキガイシャ　エスアールエーホールディングス,豊島区南池袋二丁目３２番８号,情報・通信業,38170.0,2013301022429.0
3683,3683,E05641,内国法人・組合,上場,無,175.0,5月31日,メディアファイブ株式会社,Media Five Co.,メディアファイブカブシキガイシャ,福岡市中央区薬院一丁目１番１号,情報・通信業,38240.0,1290001018160.0
3684,3684,E05643,内国法人・組合,上場,無,367.0,2月末日,株式会社システムインテグレータ,System Integrator Corp.,カブシキガイシャシステムインテグレータ,さいたま市中央区新都心１１番地２,情報・通信業,38260.0,7030001003876.0
3685,3685,E05645,内国法人・組合,上場,無,548.0,3月31日,株式会社リミックスポイント,"Remixpoint,inc.",カブシキガイシャリミックスポイント,目黒区東山一丁目５番４号,情報・通信業,38250.0,3010001110827.0
3686,3686,E05646,内国法人・組合,上場,有,727.0,9月30日,株式会社オリエンタルコンサルタンツホールディングス,Oriental Consultants Holdings Company Limited,カブシキカイシャオリエンタルコンサルタンツホールディングス,渋谷区本町三丁目１２番１号,サービス業,24980.0,5011001048948.0
3687,3687,E05647,内国法人・組合,上場,無,1771.0,3月31日,ソースネクスト株式会社,SOURCENEXT CORPORATION,ソースネクストカブシキガイシャ,港区東新橋１丁目５番２号,情報・通信業,43440.0,3010401051654.0
3688,3688,E05648,内国法人・組合,上場,有,237.0,3月31日,株式会社アドバンテッジリスクマネジメント,"Advantage Risk Management Co., Ltd.",カブシキガイシャアドバンテッジリスクマネジメント,目黒区上目黒二丁目１番１号,保険業,87690.0,8013201007846.0
3689,3689,E05650,内国法人・組合,上場,有,195.0,3月31日,株式会社ギガプライズ,"GIGAPRIZE CO.,LTD.",カブシキガイシャギガプライズ,渋谷区円山町３－６,情報・通信業,38300.0,1011001064255.0
3690,3690,E05651,内国法人・組合,上場,有,1133.0,3月31日,株式会社イントランス,"INTRANCE CO.,LTD.",カブシキガイシャイントランス,渋谷区道玄坂１－１６－５大下ビル９階,不動産業,32370.0,5011001030534.0
3691,3691,E05652,内国法人・組合,非上場,有,1988.0,11月30日,株式会社Ｔ＆Ｃメディカルサイエンス,"T&C MEDICAL SCIENCE, INC.",カブシキガイシャティーアンドシーメディカルサイエンス,港区芝浦一丁目１４番５号,情報・通信業,,7010401045289.0
3692,3692,E05653,内国法人・組合,非上場,無,506.0,2月末日,株式会社パイプドビッツ,"PIPED BITS Co.,Ltd.",カブシキガイシャパイプドビッツ,港区赤坂二丁目９番１１号,情報・通信業,,5010401053764.0
3693,3693,E05657,内国法人・組合,上場,無,377.0,3月31日,株式会社ヒップ,HIP CORPORATION,カブシキガイシャヒップ,横浜市西区楠町８番地８,サービス業,21360.0,9020001015813.0
3694,3694,E05659,内国法人・組合,上場,有,190.0,3月31日,ｅＢＡＳＥ株式会社,"eBASE Co.,Ltd.",イーベースカブシキガイシャ,大阪市北区豊崎五丁目４番９号,情報・通信業,38350.0,9120001099805.0
3695,3695,E05663,内国法人・組合,上場,有,288.0,6月30日,株式会社アバント,AVANT CORPORATION,カブシキカイシャアバント,港区港南二丁目１５番２号,情報・通信業,38360.0,4010401091204.0
3696,3696,E05664,内国法人・組合,上場,無,499.0,3月31日,アドソル日進株式会社,Ad-Sol Nissin Corporation,アドソルニッシンカブシキカイシャ,港区港南四丁目１番８号,情報・通信業,38370.0,8010401052268.0
3697,3697,E05665,内国法人・組合,上場,有,1442.0,3月31日,イー・ギャランティ株式会社,"eGuarantee,Inc.",イーギャランティカブシキガイシャ,港区赤坂５－３－１,その他金融業,87710.0,1011001047318.0
